"","prot_fraction","name","X","vIG","vEAA","vENT","vRNAP","vRNase","vAF","wIG","wEAA","wENT","wRNAP","wRNase","wAF","wrP","prot_fraction","growth_rate","EGVs","name","vIrP"
"1",0,"deg_LB",NA,16.8888888888889,18.6392867973966,4.68331509096038,0.00522203047875223,0.0045616764473865,0.000660269591176284,8.00864341570136e-05,0.00149914583574406,0.000395593187761518,0.00118703672894528,0.000311127467862609,6.70488770063872e-05,0.00327663873172561,0,3.04,NA,NA,NA
"2",0,"deg_glcAA",NA,14.6,16.6948033487799,3.7541404318764,0.00475909101650414,0.00422975192221862,0.000529261222984415,5.99839745347709e-05,0.0014338914077956,0.000274154665839118,0.00119795600929737,0.000249460660670645,4.64913010236102e-05,0.00289536579313963,0,2.628,NA,NA,NA
"21",0.195,"deg_glyAA",NA,24.804347826087,15.7060220844534,2.64767112305889,0.00389920545137994,0.00343545187578826,0.000463734256074263,8.7504337117635e-05,0.00142228785948016,0.000167853234688557,0.000883086340983815,0.000141405138489821,3.53000991470366e-05,0.000463758311965107,0.195,2.282,NA,NA,NA
"38",0.365,"deg_glc",NA,10.4333333333333,14.0104660339214,1.62962936508393,0.00293123563320464,0.00256938092379231,0.00036183504343183,3.03620478621054e-05,0.00146177514751047,8.5028856516551e-05,0.0005401405267483,6.86942546878984e-05,2.26715295163398e-05,0.000361845502966697,0.365,1.878,NA,NA,NA
"381",0.365,"deg_gly",NA,16.6521739130435,11.7955273338264,1.14392717423558,0.00246488282070425,0.00221087694422045,0.000253953832839051,3.97056000121828e-05,0.00143423093936639,4.87250564618683e-05,0.000386007439959737,4.84170459245834e-05,1.30243257892847e-05,0.000253982063154796,0.365,1.532,NA,NA,NA
"42",0.405,"deg_succ",NA,8.93220338983052,8.5733795568457,0.555047042748813,0.00169080411461407,0.00155927195826519,0.000131520346688376,1.46019546191299e-05,0.00125505722581923,1.62602624436838e-05,0.000186194991597483,2.19497567791845e-05,4.63289626765739e-06,0.000131525890598122,0.405,1.054,NA,NA,NA
"28",0.265,"deg_hill-2_LB",NA,16.9166666666667,20.0788775215351,3.97771644288284,0.00316972012011461,0.00240664798617382,0.000762993237852612,8.00804192066638e-05,0.00161754301801707,0.000336526400131689,0.000530496091972932,0.000121049140641361,7.75411690643507e-05,0.000763061139066762,0.265,3.045,NA,NA,NA
"30",0.285,"deg_hill-2_glcAA",NA,15.1611111111111,18.5457234548689,3.28618738234693,0.00266492191334446,0.00201687656941311,0.00064804397090567,6.38599139505365e-05,0.00165396471594493,0.000249112600033942,0.000498011978416582,8.81097999160248e-05,5.89520747060649e-05,0.000648045057047094,0.285,2.729,NA,NA,NA
"34",0.325,"deg_hill-2_glyAA",NA,26.5434782608696,17.1792782241174,2.64495435936464,0.00206308853358506,0.00151058695629556,0.000552373981494359,0.00010093821971179,0.00166487427117289,0.000179536475879367,0.000419413785350302,5.64650559136794e-05,4.51137485550554e-05,0.00055245957386459,0.325,2.442,NA,NA,NA
"382",0.365,"deg_hill-2_glc",NA,11.2611111111111,14.9284131524831,1.856957577238,0.00148614878172398,0.0010738164692979,0.00041232478188602,3.52772634525429e-05,0.00168111202123723,0.000104563857039863,0.000295577893431578,3.09832956324054e-05,2.78679473590722e-05,0.000412329104417753,0.365,2.027,NA,NA,NA
"37",0.355,"deg_hill-2_gly",NA,17.7826086956522,12.4444125894449,1.29846273920346,0.00125473604540906,0.000970886051257608,0.000283785833190561,4.53457185057881e-05,0.00161585797971414,5.90675644868401e-05,0.00021318749752184,2.32930953826762e-05,1.55503457765679e-05,0.000283824651010886,0.355,1.636,NA,NA,NA
"383",0.365,"deg_hill-2_succ",NA,9.3813559322034,8.8909478534448,0.640439776936913,0.00082063590669456,0.00067842801921723,0.000142148938285338,1.64370798011836e-05,0.00136703764180062,1.97479324742905e-05,0.000101363686781533,1.10025568969066e-05,5.3133074895795e-06,0.0001421833775463,0.365,1.107,NA,NA,NA
"341",0.325,"deg_hill-6_LB",NA,17.1555555555556,20.6871053662614,3.86951005609617,0.00183283059457654,0.00102453293841423,0.000808200642782857,8.24267612190854e-05,0.00169008341400283,0.000332007171539095,0.000285752559702865,4.83430921989759e-05,8.33022834617838e-05,0.000808264050811459,0.325,3.088,NA,NA,NA
"35",0.335,"deg_hill-6_glcAA",NA,15.5166666666667,19.1780483297777,3.26331970299226,0.00149564143404115,0.000803719512053318,0.000691771993572562,6.79315269146175e-05,0.00175060633994775,0.000253318599941852,0.000266244798662904,3.42547141149971e-05,6.45781971658166e-05,0.000691868116690338,0.335,2.793,NA,NA,NA
"36",0.345,"deg_hill-6_glyAA",NA,27.3804347826087,17.7185105294265,2.7295975489666,0.0012162239439882,0.000628631189172485,0.000587573920473285,0.000106571373236059,0.00177116571515269,0.000191013783980763,0.00024741619304086,2.33265413492802e-05,4.93588456564546e-05,0.000587585825488009,0.345,2.519,NA,NA,NA
"384",0.365,"deg_hill-6_glc",NA,11.6444444444445,15.3466015864003,1.96572423168776,0.000828649676305638,0.000392166028009617,0.000436459134135201,3.78382380216771e-05,0.00178704948572556,0.000114471822931886,0.000170445608313275,1.18229075149098e-05,3.05226821969392e-05,0.000436473685953165,0.365,2.096,NA,NA,NA
"371",0.355,"deg_hill-6_gly",NA,18.304347826087,12.7526914620248,1.36533502387042,0.000697179867489169,0.000398711280875635,0.00029843082170095,4.78413507307605e-05,0.00170444346395423,6.39034672097435e-05,0.000121933483797266,9.91182355048919e-06,1.67970778801251e-05,0.000298454334228547,0.355,1.684,NA,NA,NA
"372",0.355,"deg_hill-6_succ",NA,9.58474576271188,9.04405255515446,0.674399774677962,0.000441203179258337,0.000293776251770596,0.000147339790096367,1.7359020329772e-05,0.00142075341708509,2.12708878007079e-05,5.6629118293988e-05,5.29837920036037e-06,5.65907868610206e-06,0.000147394128236765,0.355,1.131,NA,NA,NA
